the_geom,direction,shape_length,lot,source,tax_lot_face_type
"{'type': 'MultiLineString', 'coordinates': [[[-73.952788018561, 40.799902639702], [-73.952636489027, 40.799838845751]]]}",118.95577796,19.30135036235769,46,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.93562973872, 40.802660739969], [-73.935811326548, 40.802412433316]]]}",209.01935151,41.7376841291396,44,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.959838415938, 40.758254612283], [-73.95959376203, 40.75815242678]]]}",118.75281579,31.1006952952981,66,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.969908761876, 40.752285564466], [-73.970160343647, 40.752391724541]]]}",299.00552846,32.05771503604892,1,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.93705273702, 40.798757667927], [-73.937069564917, 40.798764747887], [-73.937136239727, 40.79879280035]]]}",298.92980088,10.634679848026968,128,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.956124309272, 40.805220602872], [-73.956172706393, 40.805240917319], [-73.956214421569, 40.80525842704]]]}",298.88754515,11.470360240249407,44,1,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.962959091949, 40.75896130032], [-73.962726219249, 40.758863615232]]]}",118.85948639,29.633002137734884,28,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.970997574942, 40.750628014657], [-73.971326885522, 40.750768359783]]]}",299.24750488,42.06150360584876,49,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.952434764052, 40.807279498139], [-73.952578145269, 40.807083130122]]]}",208.990717,32.997075435746105,60,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.950575082396, 40.807813368928], [-73.950759446549, 40.807559591801]]]}",208.86650456,42.593912262982045,21,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.961871185947, 40.800360979841], [-73.961541333404, 40.800222788952]]]}",118.84326187,41.967328562296025,62,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.967885955347, 40.756030921521], [-73.968114377245, 40.756127051957]]]}",298.94075599,29.08861373005413,130,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.971329737132, 40.765608040897], [-73.971285876094, 40.765668847488], [-73.971240481795, 40.765731781314]]]}",28.7226092,20.72425278099028,66,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.936072965362, 40.799073313058], [-73.936027203796, 40.799135817946]]]}",29.04820791,10.508760273694463,3,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.964309336183, 40.757611215646], [-73.96448600817, 40.757370291252]]]}",209.12138523,40.50186583418738,16,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.945159157978, 40.822035002639], [-73.945109323428, 40.822141960578]]]}",19.45540669,16.68323393514129,87,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.962583648346, 40.754032152199], [-73.963075705942, 40.753418056089]]]}",211.33083236,105.56565824796756,60,1,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.963975812366, 40.754946961805], [-73.963898862227, 40.754896066892]]]}",130.9919529,11.371734448884942,5,1,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.967012245858, 40.753843602354], [-73.966832214331, 40.754093569432]]]}",28.68751538,41.84469375730513,32,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.950982655367, 40.807984498951], [-73.950801843705, 40.808233387494]]]}",28.86635814,41.7735620297092,49,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.965352666378, 40.758546559667], [-73.965311910997, 40.758602501907], [-73.965275116152, 40.75865300959], [-73.965238211208, 40.758703667594], [-73.965202253132, 40.758753025259], [-73.965173233256, 40.758792859823]]]}",28.96191746,41.34247176380798,104,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.933613447738, 40.797373621195], [-73.933611907076, 40.797372968248], [-73.933455274564, 40.797306575107]]]}",119.10804345,20.18002962040018,7,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.96519300239, 40.799761835222], [-73.965017517123, 40.800005657269]]]}",28.65295948,40.83134102354416,20,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.951740984176, 40.807990056416], [-73.951740124421, 40.807989694894]]]}",118.92890938,0.1094849598881122,9,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.948692904227, 40.814420986803], [-73.949101690995, 40.814593434959]]]}",299.00789965,52.097637547671205,57,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.940603415156, 40.808966289095], [-73.940705122703, 40.808825930316]]]}",208.79757317,23.54417225239032,39,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.969201922075, 40.767162828162], [-73.969147016939, 40.767139638545], [-73.969091349539, 40.767116127584], [-73.969022239823, 40.767086930622]]]}",119.03503748,22.90265757593487,17,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.935298895864, 40.799226648527], [-73.935236939758, 40.799200508161]]]}",118.99702303,7.895819186510667,48,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.968831907619, 40.761151545686], [-73.96861671853, 40.761060388121]]]}",119.10262128,27.44661423737705,21,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.966946813308, 40.753073691976], [-73.967080698563, 40.752887795075]]]}",208.6876504,31.11885272640782,25,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.943021481314, 40.809663282689], [-73.9431067785, 40.809699222462]]]}",298.97313488,10.867384164683976,65,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.956733357707, 40.806300151438], [-73.95679124634, 40.806324628868]]]}",299.0666445,7.381451459673558,57,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.963246010608, 40.759745492971], [-73.963229175012, 40.759738398516], [-73.96318545588, 40.759719975003]]]}",118.9711136,7.713912521400477,16,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.964370109034, 40.798257131314], [-73.964191796427, 40.798505895136]]]}",28.55461006,41.61939620177896,27,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-74.000268794679, 40.718420041443], [-74.000338576974, 40.718469792298]]]}",313.13811026,10.66479037563429,1,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.959628408227, 40.757553937926], [-73.959683805789, 40.757577076076]]]}",298.75258939,7.042191311725222,42,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.934877823776, 40.799048987947], [-73.934826731562, 40.799027430562]]]}",118.99745936,6.5113464373075445,142,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.951566202344, 40.808229512801], [-73.951620812804, 40.808154338189]]]}",208.86584344,12.617238061490676,8,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-74.009340780544, 40.716168021533], [-74.009359303209, 40.715934964249]]]}",183.46674282,34.29090649285358,5,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.944969130883, 40.813982651461], [-73.945013963989, 40.813921127842]]]}",208.9349438,10.334240642201603,35,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.944969130883, 40.813982651461], [-73.945291418173, 40.814118229845]]]}",298.93731893,41.04652632803055,36,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.950919199521, 40.807459606144], [-73.95080992061, 40.807413612616]]]}",118.95054512,13.919052666709671,44,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.947035324615, 40.814291067981], [-73.946855631531, 40.814537669108]]]}",28.93489683,41.421827737737615,10,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.962101505585, 40.754652662552], [-73.962130904914, 40.754665455625]]]}",299.75476828,3.774263556596357,60,1,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.843497667372, 40.874527350596], [-73.843813945584, 40.874425505248]]]}",246.90985629,38.26758096112504,55,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.964614241468, 40.756736151652], [-73.964512243183, 40.756875215033], [-73.96432953417, 40.757124408566]]]}",29.12121896,65.26928933828745,30,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.965471402444, 40.752019242458], [-73.966774704748, 40.752566405435]]]}",298.87939468,165.87351892839123,1,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.951133011269, 40.808047629782], [-73.951114643058, 40.808039920254], [-73.951072494835, 40.808022220202]]]}",118.89301382,7.703769745156142,13,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.791669552984, 40.75451913789], [-73.791650732764, 40.754382645738]]]}",173.87792326,20.16713786828702,55,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.9450779172, 40.817174466381], [-73.945051153159, 40.817163182447], [-73.945022224742, 40.817150986139]]]}",118.99205803,7.096777013679883,108,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.933325239816, 40.793330137054], [-73.933538470788, 40.793200432043], [-73.933799269076, 40.793043344245]]]}",231.43430959,67.54891433342313,1,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-74.001967905653, 40.718208287153], [-74.00252640718, 40.718462262038]]]}",300.86697955,72.50400636468862,7,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.955221670132, 40.803071449945], [-73.955041955826, 40.803317386187]]]}",29.01286114,41.33200989530531,54,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.958020956627, 40.801783094743], [-73.958099873302, 40.80181636583]]]}",298.99445005,10.055596829526186,51,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.955675859847, 40.805032368531], [-73.955855352516, 40.804786650508]]]}",209.00422157,41.29280345025591,27,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.966495360217, 40.757387818693], [-73.966455896622, 40.757441637596]]]}",29.12136286,9.04737936789736,1,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.943259423251, 40.8118908499], [-73.943319003698, 40.811915904051]]]}",298.92574478,7.587404619248664,27,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.961487944618, 40.804063459898], [-73.96149914826, 40.804068200202]]]}",299.08430043,1.4287936267626695,1,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.946394578196, 40.810266975881], [-73.9464435954, 40.810287567311]]]}",298.90271938,6.240685403017222,57,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.969410559924, 40.764798701941], [-73.969618738177, 40.764886792549]]]}",299.07770182,26.54580210837217,45,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.956600664384, 40.804472899615], [-73.956417030176, 40.804722375014]]]}",29.19083974,41.99954103140557,61,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.960028499735, 40.757567541006], [-73.960087629676, 40.757592238745]]]}",298.75351314,7.516702778053857,25,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.965376949925, 40.759824687371], [-73.965309377764, 40.759918053353]]]}",28.80193925,15.648131773898935,25,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.944237119395, 40.816819965958], [-73.944195951216, 40.81680260819], [-73.944180448437, 40.816796071677]]]}",118.9929009,7.221563323107797,19,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.970312941043, 40.761841443165], [-73.970095189042, 40.762140938946]]]}",28.9154979,50.25012650206386,69,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.955718891263, 40.808005590616], [-73.955773581424, 40.808028595973]]]}",298.94050141,6.965088256225973,6,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.955787878, 40.804758328945], [-73.955608384233, 40.805004046863]]]}",29.00434686,41.29283564662278,128,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.934540803742, 40.795793969264], [-73.934359075486, 40.796040664315]]]}",29.19852801,41.53494282460628,10,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.951434872388, 40.807843202726], [-73.951250520206, 40.808096968278]]]}",28.86637354,42.59191823812044,106,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.962680354834, 40.758926566678], [-73.962726219249, 40.758863615232]]]}",208.96196228,10.566863800288932,29,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.971980418162, 40.755435837941], [-73.972158793112, 40.755194302059]]]}",209.29954215,40.67164741049616,45,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-74.001968153032, 40.707023045899], [-74.002127027051, 40.707218825134]]]}",328.30437583,33.75426049390362,7,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.944899950726, 40.814532092567], [-73.944865574643, 40.814578675095]]]}",29.24182802,7.847881208656172,33,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.934099389622, 40.798560429666], [-73.934009830885, 40.798682752058]]]}",29.04792778,20.565752092967102,31,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.973874493206, 40.761152538785], [-73.973464518678, 40.760979847865]]]}",118.96807365,52.220590683822,56,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.965297805196, 40.755315549039], [-73.965518127264, 40.755408404308]]]}",298.97376481,28.0666027547854,24,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.96268533939, 40.813787421688], [-73.962678304819, 40.81378632609], [-73.962671312872, 40.813785085057], [-73.962664368173, 40.81378369859], [-73.96265747627, 40.8137821688], [-73.962650642712, 40.813780495688], [-73.962643870273, 40.813778681363], [-73.96263716635, 40.81377672653], [-73.962630535567, 40.813774633298], [-73.962623982548, 40.81377240167], [-73.962617512838, 40.813770037267], [-73.962611131064, 40.813767537282], [-73.962604840923, 40.813764905228], [-73.962598647962, 40.813762143918], [-73.96259255773, 40.813759254758], [-73.962586572999, 40.813756240561], [-73.962580699318, 40.813753102734], [-73.96257494131, 40.813749843386], [-73.962569302672, 40.813746465328], [-73.962563788026, 40.813742972076], [-73.962558401072, 40.813739364334], [-73.962553146431, 40.813735647021], [-73.962548027801, 40.813731820841], [-73.962543049805, 40.813727891417], [-73.962538213366, 40.813723857345], [-73.962533524956, 40.813719725652], [-73.962528987349, 40.813715497746], [-73.962524603315, 40.813711177842], [-73.962520376554, 40.813706765941], [-73.962516310762, 40.813702270478], [-73.962512408712, 40.813697690751], [-73.962508673176, 40.813693031677], [-73.962505106003, 40.813688297475], [-73.962501711814, 40.813683490254], [-73.962498491532, 40.81367861423], [-73.962495448855, 40.813673672917], [-73.962492584704, 40.813668670531], [-73.962489901853, 40.813663609885], [-73.962487403074, 40.813658495897], [-73.962485089289, 40.813653331378], [-73.96248296142, 40.813648121248], [-73.962481023166, 40.813642868318], [-73.962479274524, 40.813637576804], [-73.962477718266, 40.813632251625], [-73.962476354389, 40.813626895592], [-73.962475181967, 40.813621512921], [-73.962474204696, 40.813616108532], [-73.962473423499, 40.813610685937], [-73.962472838374, 40.81360524865], [-73.962472448394, 40.813599800887], [-73.962472254481, 40.813594347567], [-73.962472258481, 40.813588892204], [-73.96247245762, 40.813583439011], [-73.962472854668, 40.813577991505], [-73.962473446848, 40.813572555304], [-73.962474235083, 40.81356713322], [-73.962475219372, 40.813561728766], [-73.962476396012, 40.813556347562], [-73.962477766851, 40.813550992419], [-73.962479330035, 40.813545668255], [-73.962481085565, 40.813540377881], [-73.962483029737, 40.813535126214], [-73.962485163474, 40.813529917471], [-73.962487484, 40.813524755162], [-73.962489989463, 40.8135196421], [-73.962492678011, 40.813514583903], [-73.962495547791, 40.813509584085], [-73.962498596953, 40.813504644051], [-73.962501821794, 40.813499770825], [-73.962505223238, 40.813494965814], [-73.962508795734, 40.81349023323], [-73.96251253558, 40.81348557729]]]}",156.46852139,56.89663117480932,1,1,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.965019445979, 40.755692974003], [-73.965355723186, 40.755835181274]]]}",299.0563949,42.87258384479856,30,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.951121067464, 40.809186923606], [-73.951303607868, 40.808935660375]]]}",208.86669329,42.172787770257486,4,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.981181936133, 40.752837690435], [-73.98105469992, 40.753012764247]]]}",28.91581024,29.368372002803003,1,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.945407283146, 40.811477912777], [-73.945398790878, 40.811474339299], [-73.945352740722, 40.811454969337]]]}",118.93523498,6.946374693917818,109,1,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.955043974991, 40.8013530999], [-73.955033849226, 40.801348752168], [-73.954991335373, 40.801330886857]]]}",119.01452248,6.708849269965059,24,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.955998019025, 40.804846534272], [-73.956077214828, 40.804879776619]]]}",298.8875542,10.080813388072512,25,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.956753967722, 40.805346956575], [-73.956925181808, 40.805418820934]]]}",298.88740777,21.793654695618365,15,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.93542717678, 40.798636777868], [-73.935245914745, 40.798884358406]]]}",29.04806211,41.62488914855689,112,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.950536547194, 40.806353725837], [-73.95061343775, 40.806248480102], [-73.950648434371, 40.806200580706]]]}",209.00410728,25.737312327313504,33,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.946530636245, 40.813591006685], [-73.946538511269, 40.813594318408], [-73.946577025678, 40.813610508425]]]}",298.9217067,5.907210989083607,46,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.967974431158, 40.755381101283], [-73.967629184696, 40.755235540438]]]}",118.98464058,43.98457857688648,49,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.943017676729, 40.812105718797], [-73.943026069108, 40.812109247432], [-73.943065719829, 40.812125921205]]]}",298.92544792,6.118147459218849,137,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.964109561069, 40.798471257001], [-73.96428787389, 40.798222493304]]]}",208.55461006,41.61937454788596,27,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.967442566988, 40.755156859342], [-73.967385053293, 40.755132609203]]]}",118.98587257,7.327380613419734,145,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.94406937138, 40.81707326326], [-73.944015285296, 40.817050466987]]]}",118.98420454,6.891597018192055,46,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.956077214828, 40.804879776619], [-73.956152718451, 40.804911468867]]]}",298.88737921,9.610815657938442,24,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.945511434867, 40.813816299742], [-73.945471030741, 40.813871747035]]]}",28.93466298,9.313518955572288,31,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.968209131989, 40.760152347676], [-73.968253919323, 40.760090990879]]]}",209.01114019,10.303896494320622,40,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.948811747291, 40.804604710807], [-73.948992955853, 40.804357233526]]]}",209.05779359,41.61146625260745,124,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.935983473446, 40.799195549177], [-73.935947211814, 40.799245077138]]]}",29.0486708,8.327044268075028,54,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.935819161123, 40.806358150114], [-73.935497517167, 40.806801593405]]]}",28.81878124,74.39921327921779,21,1,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.955773872072, 40.80556748378], [-73.956164773961, 40.805732776126]]]}",299.0665792,49.8446064851193,18,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.964533957686, 40.757705668421], [-73.96470608128, 40.757778044838], [-73.964782397545, 40.75781013525]]]}",298.91873274,31.631724367151666,36,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.965673606777, 40.758508476994], [-73.964601024151, 40.758057472471]]]}",118.91884831,136.56251644156015,49,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.936232932966, 40.800450894463], [-73.936150138633, 40.800415917776]]]}",119.02891038,10.554707236810168,32,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.950404003859, 40.807410338623], [-73.950219634135, 40.807664122213]]]}",28.8664422,42.59497031526748,26,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.941258877309, 40.800271227994], [-73.941075830865, 40.800522446608]]]}",28.93478606,42.18998952839768,11,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.94450140647, 40.823446693113], [-73.944363849545, 40.823741914521]]]}",19.45524488,46.04958490542621,55,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.942427775842, 40.809901813325], [-73.942583900918, 40.80996759521]]]}",298.97247378,19.891233907100005,12,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.971326885522, 40.750768359783], [-73.971154410042, 40.751004709003]]]}",29.00983097,39.68431042639799,49,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.967891804304, 40.754211862296], [-73.967944471124, 40.754233912931]]]}",298.81503739,6.698745665742421,44,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.940121154264, 40.806683602816], [-73.940397825873, 40.80680013869]]]}",298.96207135,35.24649455331114,116,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.946148994393, 40.813747132601], [-73.946099177813, 40.813726190766]]]}",118.92072366,6.343579227537259,43,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.970025479199, 40.800484365845], [-73.969689026786, 40.800343711992]]]}",118.79670459,42.7855625942183,61,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.965447542196, 40.757268502653], [-73.96526483468, 40.757517697654]]]}",29.11812962,41.89060481711241,141,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.964352583654, 40.757953005958], [-73.964533957686, 40.757705668421]]]}",209.12118652,41.58010125584495,36,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.956082927121, 40.805438438043], [-73.956127558974, 40.805377338563]]]}",209.00413112,10.267786445546806,46,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-74.001705353026, 40.717796130748], [-74.001629142281, 40.717759945634]]]}",121.96648588,10.01093836266426,24,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.947294207104, 40.80346133135], [-73.947242945777, 40.803439634664]]]}",119.08354494,6.5378725507597295,161,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.966141699469, 40.757502531206], [-73.966177334219, 40.757453934119]]]}",209.12122721,8.169564396535472,3,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.968793016058, 40.762021216842], [-73.96856117507, 40.761923007753]]]}",119.102293,29.57041872943609,14,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.940142021817, 40.798644175051], [-73.939814494656, 40.798505954757]]]}",119.00529676,41.7428781423364,38,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.957830513507, 40.802847682715], [-73.958009627124, 40.802601900691]]]}",208.94874357,41.27960145021672,37,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.965110588815, 40.758766583365], [-73.965290022098, 40.758520283306]]]}",208.96191746,41.34245545133032,104,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.952235962841, 40.799028759965], [-73.952273686932, 40.799686105051]]]}",357.47162498,96.75575903212736,31,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.951512241922, 40.80820685708], [-73.951566202344, 40.808229512801]]]}",298.89216066,6.869110541962778,56,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.951980795417, 40.807253647787], [-73.951796040711, 40.807506518189]]]}",29.0056891,42.49798119757018,12,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.965065183643, 40.799370473018], [-73.965219920608, 40.799435754568]]]}",299.01488903,19.71968902112489,11,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.951481885482, 40.802927335269], [-73.951662594956, 40.80300338943]]]}",298.94833559,23.01669744593359,9,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.951511165459, 40.808868301949], [-73.951834552545, 40.809004319344]]]}",298.93549219,41.18415780941962,3,1,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.951081106509, 40.808842074472], [-73.951259818385, 40.808596078839]]]}",208.86656588,41.28840503024324,108,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.945148310675, 40.81688593201], [-73.945199642764, 40.816907574802]]]}",298.99305834,6.541202531774046,9,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.956832482908, 40.80554572485], [-73.956800016876, 40.805590169335]]]}",29.00475629,7.468939125402496,48,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.96991431503, 40.754560620943], [-73.970092249374, 40.75431582639]]]}",208.91180897,41.0661463406832,35,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.938347497186, 40.800514595402], [-73.938394737254, 40.800449767435]]]}",208.93508492,10.887532046135668,40,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-74.114899374078, 40.615199235824], [-74.115107552987, 40.615181070165]]]}",263.54289479,23.32698001128512,28,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.965238304238, 40.760016389519], [-73.965037652361, 40.759931886585]]]}",118.95738995,25.556806899642453,27,0,0
