record_id,url,organization_type
NYC_GOID_000151,{'url': 'https://www.nyc.gov/site/records/index.page'},Mayoral Agency
NYC_GOID_000245,{'url': 'https://www1.nyc.gov/site/macj/index.page'},Advisory or Regulatory Organization
NYC_GOID_000096,{'url': 'https://www.nyc.gov/site/cchr/index.page'},Advisory or Regulatory Organization
NYC_GOID_000079,{'url': 'https://www.nycitycenter.org/'},Nonprofit Organization
NYC_GOID_000356,{'url': 'https://mentalhealth.cityofnewyork.us/'},Mayoral Office
NYC_GOID_000052,,Mayoral Office
NYC_GOID_000152,{'url': 'https://www.nyc.gov/site/dsny/index.page'},Mayoral Agency
NYC_GOID_000154,{'url': 'https://www.nyc.gov/site/dss/index.page'},Mayoral Agency
NYC_GOID_000198,{'url': 'https://www.fundforpublicschools.org/'},Nonprofit Organization
NYC_GOID_000325,{'url': 'https://www.preservationtrust.org/'},Public Benefit or Development Organization
NYC_GOID_000445,{'url': 'https://www1.nyc.gov/site/tsasc/index.page'},Public Benefit or Development Organization
NYC_GOID_000156,{'url': 'https://www.nyc.gov/site/hra/index.page'},Division
NYC_GOID_000214,{'url': 'https://www1.nyc.gov/site/hra/help/hiv-aids-services.page'},Advisory or Regulatory Organization
NYC_GOID_000395,{'url': 'https://www.nyc.gov/site/bronxpa/index.page'},State Government Agency
NYC_GOID_100018,{'url': 'https://www1.nyc.gov/site/peacenyc/index.page'},Mayoral Office
NYC_GOID_000119,{'url': 'https://www.nyc.gov/site/doh/health/health-topics/mh-community-services-board.page'},Advisory or Regulatory Organization
NYC_GOID_000235,{'url': 'https://www.nycldc.com/'},Public Benefit or Development Organization
NYC_GOID_000116,{'url': 'https://www1.nyc.gov/site/dycd/involved/boards-and-councils/community-action-board.page'},Advisory or Regulatory Organization
NYC_GOID_000240,{'url': 'https://www.nyc.gov/site/loftboard/index.page'},Advisory or Regulatory Organization
NYC_GOID_000009,{'url': 'https://ogs.ny.gov/ACPL/'},Advisory or Regulatory Organization
NYC_GOID_100007,,Mayoral Office
NYC_GOID_000267,{'url': 'https://www.nyc.gov/site/equity/index.page'},Mayoral Office
NYC_GOID_000136,{'url': 'https://www.nyc.gov/site/buildings/index.page'},Mayoral Agency
NYC_GOID_000050,{'url': 'https://www.nyc.gov/site/charter/index.page'},Advisory or Regulatory Organization
NYC_GOID_000390,{'url': 'https://www.nyc.gov/content/nycppf/pages/'},Pension Fund
NYC_GOID_000125,{'url': 'https://esd.ny.gov/new-york-convention-center-development-corporation-0'},Public Benefit or Development Organization
NYC_GOID_000255,{'url': 'https://www.nyc.gov/site/international/index.page'},Mayoral Office
NYC_GOID_000362,{'url': 'https://www.nyc.gov/content/engagement/pages/'},Mayoral Office
NYC_GOID_000181,{'url': 'https://infohub.nyced.org/reports/financial/educational-construction-fund'},Public Benefit or Development Organization
NYC_GOID_000425,{'url': 'https://nycsci.org/'},Advisory or Regulatory Organization
NYC_GOID_000162,,Mayoral Office
NYC_GOID_000165,,Mayoral Office
NYC_GOID_000091,{'url': 'https://studiomuseum.org/'},Nonprofit Organization
NYC_GOID_000138,{'url': 'https://www.nyc.gov/site/dcas/index.page'},Mayoral Agency
NYC_GOID_000308,{'url': 'https://www.nyc.gov/site/nyw/index.page'},Public Benefit or Development Organization
NYC_GOID_000161,,Mayoral Office
NYC_GOID_100019,{'url': 'https://www.nyc.gov/site/cfcp/index.page'},Mayoral Office
NYC_GOID_000216,{'url': 'https://www.nyc.gov/site/hpd/index.page'},Mayoral Agency
NYC_GOID_000412,{'url': 'https://www.nyc.gov/site/rcpa/index.page'},State Government Agency
NYC_GOID_000256,,Mayoral Office
NYC_GOID_000264,{'url': 'https://www.nyc.gov/site/mocs/index.page'},Mayoral Office
NYC_GOID_000083,{'url': 'https://queensbotanical.org/'},Nonprofit Organization
NYC_GOID_000259,{'url': 'https://www.nyc.gov/site/animalwelfare/index.page'},Division
NYC_GOID_000326,{'url': 'https://www.nycsbus.com/'},Public Benefit or Development Organization
NYC_GOID_000351,{'url': 'https://www.nyc.gov/site/childcare/index.page'},Mayoral Office
NYC_GOID_000277,{'url': 'https://www.nyc.gov/site/specialenforcement/index.page'},Mayoral Office
NYC_GOID_100001,,Advisory or Regulatory Organization
NYC_GOID_000464,{'url': 'https://www.911memorial.org/'},Nonprofit Organization
NYC_GOID_000306,,Mayoral Office
NYC_GOID_000094,{'url': 'https://www.wcs.org/'},Nonprofit Organization
NYC_GOID_000140,{'url': 'https://www.nyc.gov/site/doc/index.page'},Mayoral Agency
NYC_GOID_000164,,Mayoral Office
NYC_GOID_000298,{'url': 'https://www.nyc.gov/content/climate/pages/utility-consumer-advocate'},Mayoral Office
NYC_GOID_000252,{'url': 'https://www.nyc.gov/site/opportunity/index.page'},Mayoral Office
NYC_GOID_000248,{'url': 'https://www.nyc.gov/site/fund/index.page'},Nonprofit Organization
NYC_GOID_000276,,Mayoral Office
NYC_GOID_000089,{'url': 'https://www.statenislandmuseum.org/'},Nonprofit Organization
NYC_GOID_000074,{'url': 'https://mjhnyc.org/'},Nonprofit Organization
NYC_GOID_000415,{'url': 'https://www.nyc.gov/site/starcorp/index.page'},Public Benefit or Development Organization
NYC_GOID_000185,{'url': 'https://www.nyc.gov/site/eepc/index.page'},Advisory or Regulatory Organization
NYC_GOID_000150,{'url': 'https://www.nyc.gov/site/probation/index.page'},Mayoral Agency
NYC_GOID_000251,{'url': 'https://www.nyc.gov/office-of-the-mayor/index.page'},Elected Office
NYC_GOID_100008,,Mayoral Office
NYC_GOID_100012,{'url': 'https://www.nyc.gov/content/oti/pages/meet-the-team/information-privacy'},Division
NYC_GOID_100003,{'url': 'https://www.nyc.gov/content/unityproject/pages/'},Division
NYC_GOID_000157,{'url': 'https://www.nyc.gov/html/dot/html/home/home.shtml'},Mayoral Agency
NYC_GOID_000163,,Mayoral Office
NYC_GOID_000456,{'url': 'https://www1.nyc.gov/site/veterans/community/veterans-advisory-board.page'},Advisory or Regulatory Organization
NYC_GOID_000028,{'url': 'https://www.manhattanbp.nyc.gov/'},Elected Office
NYC_GOID_000146,{'url': 'https://www.nyc.gov/site/doh/index.page'},Mayoral Agency
NYC_GOID_100014,{'url': 'https://edc.nyc/build-nyc'},Public Benefit or Development Organization
NYC_GOID_000191,{'url': 'https://www.nyc.gov/site/fdny/index.page'},Mayoral Agency
NYC_GOID_100029,{'url': 'https://www.nyc.gov/site/officeconversions/index.page'},Mayoral Office
NYC_GOID_000118,{'url': 'https://www.nyc.gov/site/communityboards/index.page'},Advisory or Regulatory Organization
NYC_GOID_000060,{'url': 'https://bronxhistoricalsociety.org'},Nonprofit Organization
NYC_GOID_000465,{'url': 'https://pacnyc.org/'},Nonprofit Organization
NYC_GOID_000226,{'url': 'https://www1.nyc.gov/site/intergovernmental/index.page'},Mayoral Office
NYC_GOID_000217,{'url': 'https://www1.nyc.gov/site/housingrecovery/index.page'},Mayoral Office
NYC_GOID_000222,{'url': 'https://www.ibo.nyc.ny.us/'},Advisory or Regulatory Organization
NYC_GOID_000014,{'url': 'https://www.nyc.gov/site/records/about/archives-reference-and-research-advisory-board.page'},Advisory or Regulatory Organization
NYC_GOID_000283,{'url': 'https://www.nyc.gov/site/youthemployment/index.page'},Mayoral Office
NYC_GOID_000144,{'url': 'https://www.nyc.gov/site/dep/index.page'},Mayoral Agency
NYC_GOID_000002,{'url': 'https://www.nyc.gov/site/acs/index.page'},Mayoral Agency
NYC_GOID_000192,{'url': 'https://nycfirepension.org/'},Pension Fund
NYC_GOID_000291,,Mayoral Office
NYC_GOID_000087,{'url': 'https://www.sichildrensmuseum.org/'},Nonprofit Organization
NYC_GOID_000193,,Mayoral Office
NYC_GOID_000371,{'url': 'https://www1.nyc.gov/site/olr/index.page'},Mayoral Office
NYC_GOID_000066,{'url': 'https://www.carnegiehall.org/'},Nonprofit Organization
NYC_GOID_000040,{'url': 'https://www.nyc.gov/site/bic/index.page'},Advisory or Regulatory Organization
NYC_GOID_000117,{'url': 'https://www.nyc.gov/site/cau/index.page'},Division
NYC_GOID_000166,,Mayoral Office
NYC_GOID_000346,{'url': 'https://www.nyc.gov/site/oath/index.page'},Mayoral Agency
NYC_GOID_000261,{'url': 'https://www.nyc.gov/site/cecm/index.page'},Mayoral Office
NYC_GOID_000128,,Mayoral Office
NYC_GOID_000103,{'url': 'https://www.nyc.gov/site/csc/index.page'},Advisory or Regulatory Organization
NYC_GOID_000377,{'url': 'https://www.nyc.gov/site/opa/index.page'},Mayoral Agency
NYC_GOID_000085,{'url': 'https://queenstheatre.org/'},Nonprofit Organization
NYC_GOID_000244,,Mayoral Office
NYC_GOID_000265,,Mayoral Office
NYC_GOID_000081,{'url': 'https://www.momaps1.org/'},Nonprofit Organization
NYC_GOID_000280,{'url': 'https://www.nyc.gov/site/partnerships/index.page'},Mayoral Office
NYC_GOID_000155,{'url': 'https://www.nyc.gov/site/dhs/index.page'},Division
NYC_GOID_000338,{'url': 'https://www.nyc.gov/site/nonprofits/about/advisory-council.page'},Advisory or Regulatory Organization
NYC_GOID_000380,,Mayoral Office
NYC_GOID_000416,{'url': 'https://www.nycsca.org/'},Public Benefit or Development Organization
NYC_GOID_000399,{'url': 'https://www.nyc.gov/site/publicrealm/index.page'},Mayoral Office
NYC_GOID_000394,{'url': 'https://www.prospectpark.org/'},Nonprofit Organization
NYC_GOID_000272,{'url': 'https://www.nyc.gov/assets/mwbe/'},Mayoral Office
NYC_GOID_000281,{'url': 'https://www.nyc.gov/site/wkdev/index.page'},Mayoral Office
NYC_GOID_000071,{'url': 'https://www.lct.org/'},Nonprofit Organization
NYC_GOID_000148,{'url': 'https://www.nyc.gov/site/doi/index.page'},Mayoral Agency
NYC_GOID_000253,{'url': 'https://www.nyc.gov/site/ocdv/index.page'},Mayoral Office
NYC_GOID_000053,,Mayoral Office
NYC_GOID_000271,{'url': 'https://www.nyc.gov/site/mome/index.page'},Mayoral Office
NYC_GOID_000145,{'url': 'https://www.nyc.gov/site/finance/index.page'},Mayoral Agency
NYC_GOID_000314,{'url': 'https://www.nyc.gov/site/districting/index.page'},Advisory or Regulatory Organization
NYC_GOID_000316,{'url': 'https://www.nycers.org/'},Pension Fund
NYC_GOID_000437,{'url': 'https://www.trsnyc.org'},Pension Fund
NYC_GOID_000109,{'url': 'https://www.nyc.gov/site/ccpc/index.page'},Advisory or Regulatory Organization
NYC_GOID_000205,{'url': 'https://edc.nyc/press-release/nycedc-announces-new-york-citys-first-ever-green-economy-advisory-council'},Advisory or Regulatory Organization
NYC_GOID_000343,{'url': 'https://www.nyc.gov/site/actuary/index.page'},Advisory or Regulatory Organization
