name,principal_officer_full_name,principal_officer_first_name,alternate_or_former_acronyms,in_org_chart,listed_in_nyc_gov_agency
Mayor's Office to Prevent Gun Violence,Jessica Mofield,Jessica,,False,True
Community Services Board,,,,False,False
Land Development Corporation,Jeanny Pak,Jeanny,,False,False
Community Action Board at the NYC Department of Youth and Community Development,,,,False,False
New York City Loft Board,"Martha Cruz, Esq",Martha,,False,True
Advisory Council on Procurement Lobbying,,,,False,False
Director of Communications,,,,True,False
Mayor's Office of Equity and Racial Justice,Sideya Sherman,Sideya,MOE,True,True
Department of Buildings,Jimmy Oddo,Jimmy,,True,True
Charter Revision Commission,Alec Schierenbeck,Alec,,False,True
New York City Police Pension Fund,Kevin Holloran,Kevin,,False,True
Convention Center Development Corporation,Rebecca Pellegrini,Rebecca,,False,False
Mayor's Office for International Affairs,Aissata M.B. Camara,Aissata,,True,True
Mayor's Office of Civic Engagement,Crystal Price,Crystal,,True,True
Educational Construction Fund,Jennifer Maldonado,Jennifer,,False,False
Special Commissioner of Investigation for the New York City School District,Anastasia Coleman,Anastasia,,False,False
Deputy Mayor of Housing Economic and Workforce Development,Adolfo Carrión Jr.,Adolfo,,True,True
Deputy Mayor for Strategic Initiatives,Ana Almanzar,Ana,,True,True
Studio Museum in Harlem,Thelma Golden,Thelma,,False,False
Department of Citywide Administrative Services,Louis Molina,Louis,,True,True
New York City Municipal Water Finance Authority,David Womack,David,,False,False
Deputy Mayor for Health and Human Services,Suzanne Miles-Gustave,Suzanne,,True,True
Mayor's Office of Faith-Based and Community Partnerships,Pastor Gilford Monrose,Gilford,,False,True
Department of Housing Preservation and Development,Ahmed Tigani,Ahmed,,True,True
Richmond County Public Administrator,Edwina Frances Martin,Edwina,,False,True
Mayor's Office of Media and Research Analysis,Margaret Turner,Margaret,,True,True
Mayor's Office of Contract Services,Kim Yu,Kim,,True,True
Queens Botanical Garden,Evie Hantzopoulos,Evie,,False,False
Mayor's Office of Animal Welfare,Alexandra Silver,Alexandra,,True,True
"New York City School Bus Umbrella Services, Inc.",Matt Berlin,Matt,,False,False
Mayor's Office for Childcare and Early Childhood Education,Amber Cartwright,Amber,,True,True
Mayor's Office of Special Enforcement,Christian J. Klossner,Christian,AJC,False,True
Borough Boards,,,,True,False
National September 11 Memorial and Museum,Elizabeth L. Hillman,Elizabeth,,False,False
Mayor's Office of Municipal Services Assessment,,,,True,False
Wildlife Conservation Society,Adam F. Falk,Adam,,False,False
Department of Correction,Lynelle Maginley-Liddie,Lynelle,,True,True
Deputy Mayor for Public Safety,Kaz Daughtry,Kaz,,True,True
Mayor's Office of the Utility Consumer Advocate,,,,False,True
Mayor's Office for Economic Opportunity,Carson Hicks,Carson,,True,True
Mayor's Fund to Advance New York City,Kate Smith,Kate,,True,True
Mayor's Office of Policy and Planning,,,,True,False
Staten Island Museum,Janice Monger,Janice,,False,False
Museum of Jewish Heritage,Jack Kliger,Jack,,False,False
Sales Tax Asset Receivable Corporation,David Womack,David,,False,False
Equal Employment Practices Commission,Jeanne M. Victor,Jeanne,,True,True
Department of Probation,Juanita Holmes,Juanita,,True,True
Office of the Mayor,Eric L. Adams,Eric,,True,True
Office of Creative Communications,,,,True,False
Office of Information Privacy,Michael Fitzpatrick,Michael,MOIP,True,True
Unity Project,Ronald Porcelli,Ronald,,True,True
New York City Department of Transportation,Ydanis Rodriguez,Ydanis,DOT,True,True
Deputy Mayor for Operations,Jeffrey D. Roth,Jeffrey,,True,True
Veterans Advisory Board,,,,False,False
Office of the Borough President of Manhattan,Mark D. Levine,Mark,,True,True
Department of Health and Mental Hygiene,Michelle Morse,Michelle,DOH,True,True
Build NYC Resource Corporation,,,,False,False
Fire Department of the City of New York,Mark Guerra,Mark,,True,True
Office Conversion Accelerator,,,,False,True
Community Boards,,,,False,True
Bronx County Historical Society,Gary Hermalyn,Gary,,False,False
Perelman Performing Arts Center,Khady Kamara Nunez,Khady,,False,False
