record_id,name,name_alphabetized,principal_officer_last_name,alternate_or_former_names
NYC_GOID_000172,Staten Island District Attorney's Office,"District Attorney's Office, Staten Island",McMahon,Richmond County District Attorney's Office
NYC_GOID_000093,Weeksville Heritage Center,Weeksville Heritage Center,Codrington,
NYC_GOID_000468,New York City Young Men's Initiative,"Young Men's Initiative, New York City",,Young Men's Initiative
NYC_GOID_000312,New York City Children's Cabinet,"Children's Cabinet, New York City",Badi,
NYC_GOID_000088,Staten Island Historical Society,"Historical Society, Staten Island",Phillips,
NYC_GOID_000269,Mayor's Office of Food Policy,"Food Policy, Mayor's Office of",MacKenzie,
NYC_GOID_000320,New York City Housing Authority Board,"Housing Authority Board, New York City",,
NYC_GOID_000448,Trust for Cultural Resources,"Cultural Resources, Trust for",,
NYC_GOID_000292,Mayor's Press Office,"Press Office, Mayor's",Mamelak Altus,
NYC_GOID_000388,Pay Equity Cabinet,Pay Equity Cabinet,,
NYC_GOID_000361,Mayor's Office of Innovation and Emerging Markets,"Innovation and Emerging Markets, Mayor's Office of",,
NYC_GOID_000458,Voter Assistance Advisory Committee,Voter Assistance Advisory Committee,,
NYC_GOID_100023,Tax Appeals Tribunal,Tax Appeals Tribunal,,
NYC_GOID_000349,Office of Capital Project Development,"Capital Project Development, Office of",,
NYC_GOID_000077,New York Botanical Garden,"Botanical Garden, New York",Bernstein,
NYC_GOID_000061,Bronx Museum of the Arts,"Museum of the Arts, Bronx",Momin,
NYC_GOID_000319,New York City Housing Authority,"Housing Authority, New York City",Bova-Hiatt,
NYC_GOID_000274,Mayor's Office of Operations,"Operations, Mayor's Office of",Steinberg,
NYC_GOID_000113,Commission on Racial Equity,"Racial Equity, Commission on",Tigani,
NYC_GOID_000143,New York City Public Schools,"Public Schools, New York City",Aviles-Ramos,Department of Education;NYC Public Schools
NYC_GOID_000142,Department of Design and Construction,"Design and Construction, Department of",del Valle,
NYC_GOID_000070,Jazz at Lincoln Center,Jazz at Lincoln Center,Marsalis,
NYC_GOID_000347,Office of Asylum Seeker Operations,"Asylum Seeker Operations, Office of",Schaeffer,
NYC_GOID_000258,Mayor's Office of Administrative Services,"Administrative Services, Mayor's Office of",Bashar,
NYC_GOID_000387,Panel on Educational Policy,Panel on Educational Policy,,
NYC_GOID_000309,MWBE Advisory Board,MWBE Advisory Board,,
NYC_GOID_000068,Flushing Council on Culture and the Arts / Flushing Town Hall,Flushing Council on Culture and the Arts / Flushing Town Hall,Kodadek,Flushing Town Hall
NYC_GOID_100017,Office of Nightlife,"Nightlife, Office of",Garcia,
NYC_GOID_000449,Trust for Governors Island,"Governors Island, Trust for",Newman,
NYC_GOID_000476,Metropolitan Transportation Authority,Metropolitan Transportation Authority,Lieber,
NYC_GOID_000075,Museum of Modern Art,"Modern Art, Museum of",Lowry,
NYC_GOID_000025,Board of Standards and Appeals,"Standards and Appeals, Board of",Costanza,
NYC_GOID_000462,Workforce Development Council,Workforce Development Council,,
NYC_GOID_000080,New York Hall of Science,"Hall of Science, New York",Gugenheim,
NYC_GOID_000151,Department of Records and Information Services,"Records and Information Services, Department of",Toole,
NYC_GOID_000245,Mayor's Advisory Committee on the Judiciary,"Judiciary, Mayor's Advisory Committee on the",Sorett,
NYC_GOID_000096,City Commission on Human Rights,City Commission on Human Rights,Palma,
NYC_GOID_000079,New York City Center,New York City Center,Rosenberg,
NYC_GOID_000356,Mayor's Office of Community Mental Health,"Community Mental Health, Mayor's Office of",Wong,
NYC_GOID_000052,Chief Climate Officer,Chief Climate Officer,Aggarwala,
NYC_GOID_000152,New York City Department of Sanitation,"Sanitation, New York City Department of Sanitation",Lojan,Department of Sanitation;NYC Sanitation
NYC_GOID_000154,Department of Social Services,"Social Services, Department of",Park,
NYC_GOID_000198,Fund for Public Schools,Fund for Public Schools,Cockrell,
NYC_GOID_000325,New York City Public Housing Preservation Trust,"Public Housing Preservation Trust, New York City",Kenniff,
NYC_GOID_000445,Tobacco Settlement Asset Securitization Corporation,Tobacco Settlement Asset Securitization Corporation,Womack,
NYC_GOID_000156,Human Resources Administration,Human Resources Administration,French,
NYC_GOID_000214,HIV/AIDS Services Advisory Board,HIV/AIDS Services Advisory Board,,
NYC_GOID_000395,Bronx County Public Administrator,"Public Administrator, Bronx County",Powell,
NYC_GOID_100018,Mayor's Office to Prevent Gun Violence,"Prevent Gun Violence, Mayor's Office to",Mofield,
NYC_GOID_000119,Community Services Board,Community Services Board,,
NYC_GOID_000235,Land Development Corporation,Land Development Corporation,Pak,
NYC_GOID_000116,Community Action Board at the NYC Department of Youth and Community Development,Community Action Board at the NYC Department of Youth and Community Development,,
NYC_GOID_000240,New York City Loft Board,"Loft Board, New York City",Cruz,
NYC_GOID_000009,Advisory Council on Procurement Lobbying,"Procurement Lobbying, Advisory Council on",,
NYC_GOID_100007,Director of Communications,"Communications, Director of",,
NYC_GOID_000267,Mayor's Office of Equity and Racial Justice,"Equity and Racial Justice, Mayor's Office of",Sherman,Mayor's Office of Equity
NYC_GOID_000136,Department of Buildings,"Buildings, Department of",Oddo,
NYC_GOID_000050,Charter Revision Commission,Charter Revision Commission,Schierenbeck,
NYC_GOID_000390,New York City Police Pension Fund,"Police Pension Fund, New York City",Holloran,
NYC_GOID_000125,Convention Center Development Corporation,Convention Center Development Corporation,Pellegrini,
NYC_GOID_000255,Mayor's Office for International Affairs,"International Affairs, Mayor's Office for",Camara,
NYC_GOID_000362,Mayor's Office of Civic Engagement,"Civic Engagement, Mayor's Office of",Price,Mayor's Office of Engagement
NYC_GOID_000181,Educational Construction Fund,Educational Construction Fund,Maldonado,
NYC_GOID_000425,Special Commissioner of Investigation for the New York City School District,"New York City School District, Special Commissioner of Investigation for the",Coleman,
NYC_GOID_000162,Deputy Mayor of Housing Economic and Workforce Development,"Housing, Economic Development and Workforce, Deputy Mayor for",Carrión,
NYC_GOID_000165,Deputy Mayor for Strategic Initiatives,"Strategic Initiatives, Deputy Mayor for",Almanzar,
NYC_GOID_000091,Studio Museum in Harlem,Studio Museum in Harlem,Golden,
NYC_GOID_000138,Department of Citywide Administrative Services,"Citywide Administrative Services, Department of",Molina,
NYC_GOID_000308,New York City Municipal Water Finance Authority,"Municipal Water Finance Authority, New York City",Womack,
NYC_GOID_000161,Deputy Mayor for Health and Human Services,"Health and Human Services, Deputy Mayor for",Miles-Gustave,
NYC_GOID_100019,Mayor's Office of Faith-Based and Community Partnerships,"Faith-Based and Community Partnerships, Mayor's Office of",Monrose,
NYC_GOID_000216,Department of Housing Preservation and Development,"Housing Preservation and Development, Department of",Tigani,Housing Preservation and Development
NYC_GOID_000412,Richmond County Public Administrator,"Public Administrator, Richmond County",Martin,
NYC_GOID_000256,Mayor's Office of Media and Research Analysis,"Media and Research Analysis, Mayor's Office of",Turner,
NYC_GOID_000264,Mayor's Office of Contract Services,"Contract Services, Mayor's Office of",Yu,
NYC_GOID_000083,Queens Botanical Garden,"Botanical Garden, Queens",Hantzopoulos,
NYC_GOID_000259,Mayor's Office of Animal Welfare,"Animal Welfare, Mayor's Office of",Silver,
NYC_GOID_000326,"New York City School Bus Umbrella Services, Inc.","School Bus Umbrella Services, Inc., New York City",Berlin,
NYC_GOID_000351,Mayor's Office for Childcare and Early Childhood Education,"Child Care and Early Childhood Education, Mayor's Office for",Cartwright,
NYC_GOID_000277,Mayor's Office of Special Enforcement,"Special Enforcement, Mayor's Office of",Klossner,
NYC_GOID_100001,Borough Boards,Borough Boards,,
NYC_GOID_000464,National September 11 Memorial and Museum,National September 11 Memorial and Museum,Hillman,World Trade Center Memorial Foundation;9/11 Memorial & Museum
NYC_GOID_000306,Mayor's Office of Municipal Services Assessment,"Municipal Services Assessment, Mayor's Office of",,
NYC_GOID_000094,Wildlife Conservation Society,Wildlife Conservation Society,Falk,
NYC_GOID_000140,Department of Correction,"Correction, Department of",Maginley-Liddie,
NYC_GOID_000164,Deputy Mayor for Public Safety,"Public Safety, Deputy Mayor for",Daughtry,
NYC_GOID_000298,Mayor's Office of the Utility Consumer Advocate,"Utility Consumer Advocate, Mayor's Office of the",,
NYC_GOID_000252,Mayor's Office for Economic Opportunity,"Economic Opportunity, Mayor's Office for",Hicks,
NYC_GOID_000248,Mayor's Fund to Advance New York City,Mayor's Fund to Advance New York City,Smith,
NYC_GOID_000276,Mayor's Office of Policy and Planning,"Policy and Planning, Mayor's Office of",,Mayor's Office of Policy and Planning and Delivery
NYC_GOID_000089,Staten Island Museum,"Museum, Staten Island",Monger,
NYC_GOID_000074,Museum of Jewish Heritage,"Jewish Heritage, Museum of",Kliger,
NYC_GOID_000415,Sales Tax Asset Receivable Corporation,Sales Tax Asset Receivable Corporation,Womack,
NYC_GOID_000185,Equal Employment Practices Commission,Equal Employment Practices Commission,Victor,Equal Employment Opportunity
NYC_GOID_000150,Department of Probation,"Probation, Department of",Holmes,
NYC_GOID_000251,Office of the Mayor,"Mayor, Office of the",Adams,Office of the Mayor of the City of New York;Mayor's Office
NYC_GOID_100008,Office of Creative Communications,"Creative Communications, Office of",,
NYC_GOID_100012,Office of Information Privacy,"Information Privacy, Office of",Fitzpatrick,
NYC_GOID_100003,Unity Project,Unity Project,Porcelli,NYC Unity Project
NYC_GOID_000157,New York City Department of Transportation,"Transportation, New York City Department of",Rodriguez,Department of Transportation
NYC_GOID_000163,Deputy Mayor for Operations,"Operations, Deputy Mayor for",Roth,
NYC_GOID_000456,Veterans Advisory Board,Veterans Advisory Board,,
NYC_GOID_000028,Office of the Borough President of Manhattan,"Borough President, Manhattan",Levine,
NYC_GOID_000146,Department of Health and Mental Hygiene,"Health and Mental Hygiene, Department of",Morse,NYC Health;Health Department
NYC_GOID_100014,Build NYC Resource Corporation,BuildNYC,,Build NYC
NYC_GOID_000191,Fire Department of the City of New York,Fire Department of the City of New York,Guerra,Fire Department
NYC_GOID_100029,Office Conversion Accelerator,Office Conversion Accelerator,,
NYC_GOID_000118,Community Boards,Community Boards,,
NYC_GOID_000060,Bronx County Historical Society,"Historical Society, Bronx County",Hermalyn,
NYC_GOID_000465,Perelman Performing Arts Center,Perelman Performing Arts Center,Nunez,World Trade Center Performing Arts Center;PAC NYC
NYC_GOID_000226,Office of Intergovernmental Affairs,"Intergovernmental Affairs, Office of",Raspberry,Mayor's Office of Office of Intergovernmental Affairs
NYC_GOID_000217,Mayor's Office of Housing Recovery Operations,"Housing Recovery Operations, Mayor's Office of",Giuliani,
NYC_GOID_000222,Independent Budget Office,Independent Budget Office,Chafee,
NYC_GOID_000014,"Archives, Reference and Research Advisory Board","Archives, Reference and Research Advisory Board",,
NYC_GOID_000283,Mayor's Office of Youth Employment,"Youth Employment, Mayor's Office of",,
NYC_GOID_000144,Department of Environmental Protection,"Environmental Protection, Department of",Aggarwala,
NYC_GOID_000002,Administration for Children's Services,"Children's Services, Administration for",Dannhauser,
NYC_GOID_000192,Fire Department Pension Fund and Related Funds,Fire Department Pension Fund and Related Funds,McGinnis,
NYC_GOID_000291,Mayor's Office of Speechwriting,"Speechwriting, Mayor's Office of",Sweeney,
NYC_GOID_000087,Staten Island Children's Museum,"Children's Museum, Staten Island",Rosenthal,
NYC_GOID_000193,First Deputy Mayor,First Deputy Mayor,Mastro,
NYC_GOID_000371,Office of Labor Relations,"Labor Relations, Office of",Campion,
NYC_GOID_000066,Carnegie Hall,Carnegie Hall,Gillinson,
NYC_GOID_000040,Business Integrity Commission,Business Integrity Commission,Crotty,
NYC_GOID_000117,Mayor's Community Affairs Unit,"Community Affairs Unit, Mayor's",Kreizman,
NYC_GOID_000166,Deputy Mayor for Communications,"Communications, Deputy Mayor for",Levy,
NYC_GOID_000346,Office of Administrative Trials and Hearings,"Administrative Trials and Hearings, Office of",Rehman,
NYC_GOID_000261,Mayor's Office of Citywide Events Coordination and Management,"Citywide Event Coordination and Management, Mayor's Office of",Tolson,
NYC_GOID_000128,Chief Counsel to the Mayor and City Hall,Chief Counsel to the Mayor and City Hall,Stoddart,Office of the Chief Counsel to the Mayor
NYC_GOID_000103,Civil Service Commission,Civil Service Commission,Wismans,
NYC_GOID_000377,Office of Payroll Administration,"Payroll Administration, Office of",Matthew,
NYC_GOID_000085,Queens Theatre in the Park,"Theatre in the Park, Queens",Sacramone,
NYC_GOID_000244,Mayor's Advance Team,"Advance Team, Mayor's",,
NYC_GOID_000265,Mayor's Office of Correspondence,"Correspondence, Mayor's Office of",Baskerville,
NYC_GOID_000081,MoMA PS1,PS 1 Contemporary Art Center,Butler,PS 1 Contemporary Art Center
NYC_GOID_000280,Mayor's Office of Strategic Partnerships,"Strategic Partnerships, Mayor's Office of",,
NYC_GOID_000155,Department of Homeless Services,"Homeless Services, Department of",Carter,
NYC_GOID_000338,Nonprofit Advisory Council,Nonprofit Advisory Council,,
NYC_GOID_000380,Office of Scheduling and Executive Operations,"Scheduling and Executive Operations, Office of",,
NYC_GOID_000416,School Construction Authority,School Construction Authority,Kubota,
NYC_GOID_000399,Office of the Public Realm,"Public Realm, Office of the",Liu,
NYC_GOID_000394,Prospect Park Alliance,Prospect Park Alliance,Monaco,
NYC_GOID_000272,Mayor's Office of Minority and Women-Owned Business Enterprises,"Minority and Women-Owned Business Enterprises, Mayor's Office of",Garner,
NYC_GOID_000281,Mayor's Office of Talent and Workforce Development,"Talent and Workforce Development, Mayor's Office of",Lipari,
NYC_GOID_000071,Lincoln Center Theater,Lincoln Center Theater,Lee,
NYC_GOID_000148,Department of Investigation,"Investigation, Department of",Strauber,
NYC_GOID_000253,Mayor's Office to End Domestic and Gender-Based Violence,"End Domestic and Gender-Based Violence, Mayor's Office to",Sethi,Mayor's Office to Combat Domestic Violence
NYC_GOID_000053,Chief Efficiency Officer,Chief Efficiency Officer,Clay,
NYC_GOID_000271,Mayor's Office of Media and Entertainment,"Media and Entertainment, Mayor's Office of",Kaufman,
NYC_GOID_000145,Department of Finance,"Finance, Department of",Niblack,
NYC_GOID_000314,New York City Districting Commission,"Districting Commission, New York City",,
NYC_GOID_000316,New York City Employee Retirement System,"Employees' Retirement System, New York City",Reyes,
NYC_GOID_000437,Teachers' Retirement System of City of New York,Teachers' Retirement System of City of New York,Reilly,
NYC_GOID_000109,Commission to Combat Police Corruption,"Combat Police Corruption, Commission to",,
NYC_GOID_000205,Green Economy Advisory Council,Green Economy Advisory Council,,
NYC_GOID_000343,New York City Office of the Actuary,"Actuary, New York City Office of the",Tyszkiewicz,
